Unnamed: 0,TF,Target,Label
486,253,271,1
1412,639,683,1
3936,558,939,0
1845,853,454,1
4484,765,594,0
4710,879,974,0
3085,178,405,0
2996,108,493,0
5091,1155,1329,0
4249,670,549,0
471,228,1151,1
2469,1243,588,1
3896,534,483,0
4608,853,1133,0
5489,1364,421,0
3284,284,507,0
5112,1189,980,0
1945,879,108,1
2619,1303,714,1
3306,287,992,0
748,347,1268,1
2446,1231,716,1
4593,848,1125,0
5259,1245,61,0
5193,1222,745,0
4122,612,373,0
80,34,539,1
1830,848,487,1
2514,1245,582,1
4972,1053,1354,0
941,454,65,1
450,217,612,1
1448,659,716,1
2559,1258,675,1
3860,511,591,0
2440,1227,509,1
4772,931,597,0
4014,600,984,0
322,178,538,1
2746,1364,156,1
175,72,240,1
2430,1222,693,1
1380,612,206,1
952,456,1149,1
2675,1344,609,1
5509,1364,730,0
1939,879,131,1
2795,32,966,0
3249,253,979,0
4143,612,917,0
1965,882,299,1
4212,659,1260,0
3693,454,1179,0
239,116,74,1
5385,1312,1321,0
1765,807,432,1
5322,1258,1290,0
5330,1258,1330,0
1340,612,807,1
4702,879,344,0
4528,807,709,0
2009,931,34,1
1097,511,560,1
4058,609,510,0
1449,659,1029,1
3234,228,1180,0
2836,34,863,0
1125,519,962,1
4830,962,1312,0
543,287,176,1
1575,691,217,1
4120,612,590,0
5144,1189,989,0
436,209,297,1
2390,1202,558,1
1554,680,653,1
4491,769,1047,0
2075,973,987,1
1628,726,584,1
1124,519,1398,1
858,392,1097,1
3061,156,32,0
3439,332,1038,0
916,454,330,1
5280,1245,404,0
2502,1245,68,1
1357,612,588,1
1963,882,294,1
829,381,914,1
3679,454,468,0
1590,693,413,1
4661,874,188,0
1721,765,32,1
5265,1245,877,0
599,305,670,1
4430,740,116,0
4785,932,248,0
4878,1004,1216,0
4036,606,1013,0
891,432,465,1
5471,1364,734,0
1179,558,33,1
670,332,534,1
2209,1053,292,1
309,160,1274,1
2279,1138,748,1
2941,72,901,0
5424,1344,923,0
4175,639,368,0
1947,879,503,1
2708,1364,586,1
3128,188,1140,0
4740,899,4,0
4585,848,791,0
649,317,1248,1
2073,968,317,1
1242,600,1206,1
5382,1303,381,0
5096,1176,623,0
3150,193,86,0
3790,487,594,0
4624,853,481,0
1486,670,305,1
2328,1155,874,1
990,462,1045,1
3511,347,607,0
3524,360,447,0
5277,1245,920,0
233,108,1332,1
5209,1231,145,0
1861,853,1348,1
3223,221,519,0
2678,1344,193,1
1244,600,826,1
969,460,1027,1
4997,1097,1239,0
4867,995,5,0
2124,1027,392,1
1251,600,765,1
4007,600,279,0
2957,74,567,0
1977,899,806,1
4183,642,478,0
3582,367,1104,0
141,56,1027,1
2496,1245,130,1
2959,74,1118,0
5134,1189,991,0
3597,381,530,0
367,188,328,1
4846,982,873,0
2083,982,1099,1
3663,448,1212,0
3620,392,789,0
1667,740,1149,1
2415,1215,346,1
2333,1176,612,1
5441,1344,645,0
3753,462,97,0
4005,600,685,0
533,284,1215,1
3087,178,1310,0
3362,305,1113,0
834,381,197,1
2938,72,154,0
521,284,1020,1
2349,1189,49,1
2067,962,1072,1
3887,519,883,0
4211,659,154,0
3199,209,553,0
3412,317,440,0
3130,188,302,0
2661,1344,34,1
2115,1004,66,1
1313,612,762,1
4076,612,1100,0
4723,882,1333,0
2234,1097,1245,1
3708,456,792,0
1728,769,398,1
819,367,305,1
3621,392,617,0
5153,1202,1180,0
460,221,365,1
1898,874,197,1
3002,116,688,0
1444,659,743,1
4728,882,1259,0
4391,726,1158,0
2618,1303,284,1
1273,606,534,1
4540,823,463,0
3213,217,832,0
194,74,108,1
2567,1258,1245,1
4265,671,212,0
3958,584,1067,0
4207,659,580,0
761,360,659,1
5174,1215,776,0
4407,736,519,0
5203,1227,1048,0
2371,1189,14,1
1195,584,843,1
2743,1364,56,1
2381,1189,277,1
1295,609,566,1
4838,973,957,0
387,193,612,1
495,261,1289,1
3715,456,1030,0
927,454,14,1
3888,519,1350,0
2104,995,675,1
3320,292,1189,0
2411,1215,68,1
4103,612,829,0
4708,879,1325,0
3433,332,1084,0
676,332,360,1
945,456,641,1
1822,848,367,1
900,448,946,1
1644,736,381,1
1502,671,156,1
365,188,1169,1
807,367,1344,1
1777,823,932,1
2843,34,1393,0
196,74,1194,1
2022,932,340,1
3732,460,230,0
1359,612,1294,1
2904,56,608,0
324,178,11,1
3072,160,1144,0
4338,691,832,0
4836,968,280,0
32,32,612,1
178,72,405,1
509,277,853,1
782,365,367,1
3272,277,840,0
5178,1215,894,0
4317,680,500,0
4887,1027,413,0
2726,1364,423,1
3942,558,78,0
3258,261,386,0
5381,1303,518,0
4353,693,614,0
1173,558,1245,1
3690,454,1352,0
298,156,454,1
1960,882,1153,1
4726,882,399,0
5438,1344,399,0
930,454,1023,1
3704,454,1089,0
5506,1364,636,0
3654,432,959,0
3296,284,1334,0
1027,487,33,1
3570,367,784,0
1133,534,465,1
1420,642,113,1
5042,1138,30,0
2517,1245,694,1
3592,381,971,0
2622,1312,1364,1
3545,365,578,0
857,392,33,1
557,292,240,1
5232,1243,785,0
73,34,1216,1
