Unnamed: 0,TF,Target,Label
8969,361,647,0
8441,355,169,0
621,56,248,1
9698,374,401,0
1025,110,671,1
1292,175,438,1
2708,873,553,1
4192,62,58,0
4085,56,849,0
1717,399,334,1
411,43,841,1
1483,355,821,1
2804,900,829,1
8071,305,452,0
485,49,805,1
2263,558,69,1
845,62,511,1
5948,190,13,0
14852,618,604,0
7357,297,506,0
11383,443,527,0
3999,56,262,0
13737,558,771,0
1078,110,355,1
45,43,61,1
15805,624,28,0
13918,558,537,0
2957,908,52,1
3664,49,76,0
2475,740,444,1
787,62,675,1
17576,805,267,0
17524,805,839,0
2443,740,417,1
2550,740,626,1
3117,43,893,0
1161,175,791,1
2985,908,151,1
670,62,504,1
2928,908,444,1
32,43,108,1
700,62,258,1
2751,895,608,1
2931,908,836,1
266,43,854,1
8974,361,413,0
7752,305,669,0
907,110,658,1
20612,908,834,0
14614,584,299,0
7891,305,555,0
18344,873,380,0
2330,558,28,1
2875,908,697,1
17650,805,393,0
5591,187,580,0
3152,43,348,0
817,62,435,1
13760,558,198,0
12369,515,598,0
7055,259,332,0
506,56,886,1
3765,56,399,0
7018,259,840,0
2307,558,151,1
16350,654,280,0
1607,399,603,1
1538,399,859,1
52,43,114,1
14516,584,559,0
2106,532,126,1
2618,793,349,1
17644,805,300,0
298,43,759,1
19916,900,168,0
1302,175,660,1
3479,49,771,0
13981,558,528,0
3130,43,751,0
13067,516,78,0
5997,190,871,0
12816,516,880,0
1406,259,630,1
102,43,47,1
1832,443,770,1
19166,895,143,0
20468,908,6,0
1651,399,233,1
291,43,582,1
2258,558,115,1
1913,443,459,1
257,43,189,1
555,56,693,1
2947,908,446,1
2871,908,461,1
16830,740,697,0
7234,297,29,0
2815,908,489,1
478,43,175,1
6967,259,618,0
1961,454,110,1
1366,175,330,1
1813,443,801,1
20142,900,268,0
15620,624,246,0
1907,443,737,1
2093,516,810,1
2382,618,383,1
1375,175,84,1
9320,361,45,0
10924,407,286,0
13443,532,164,0
11266,443,792,0
1791,443,580,1
6608,259,118,0
139,43,719,1
13812,558,247,0
2365,618,140,1
188,43,675,1
3088,43,407,0
13048,516,374,0
18134,873,489,0
15378,624,678,0
5310,187,558,0
15870,654,467,0
3737,49,283,0
767,62,680,1
7735,305,630,0
4599,110,869,0
19533,895,146,0
2986,908,492,1
2561,740,223,1
6970,259,476,0
15003,618,702,0
1702,399,441,1
1743,407,188,1
10677,407,166,0
149,43,312,1
3132,43,324,0
8639,355,635,0
10127,399,885,0
13239,532,870,0
16535,740,886,0
2355,618,901,1
2736,895,516,1
2155,558,156,1
8833,361,729,0
2577,740,153,1
16957,793,557,0
16210,654,347,0
567,56,622,1
14,43,718,1
528,56,6,1
1405,259,65,1
10916,407,428,0
2852,908,668,1
16865,793,234,0
8451,355,153,0
1149,175,599,1
17746,805,183,0
18756,882,104,0
2645,793,17,1
8034,305,829,0
203,43,656,1
12370,515,87,0
5709,187,639,0
299,43,603,1
192,43,456,1
2890,908,575,1
1057,110,525,1
11922,515,721,0
744,62,527,1
14641,584,694,0
416,43,9,1
527,56,231,1
13704,558,887,0
10228,399,147,0
2186,558,447,1
51,43,613,1
15817,654,615,0
1397,175,435,1
1407,259,383,1
12703,516,123,0
196,43,96,1
8765,355,379,0
1207,175,235,1
7878,305,303,0
17490,805,413,0
781,62,737,1
16710,740,603,0
2918,908,666,1
15026,618,594,0
1867,443,413,1
63,43,296,1
554,56,843,1
1950,443,6,1
10141,399,550,0
20255,900,28,0
17487,805,541,0
1517,399,644,1
3198,49,344,0
11450,454,133,0
10526,407,553,0
929,110,310,1
5299,187,298,0
211,43,372,1
2620,793,443,1
93,43,165,1
5964,190,892,0
14521,584,858,0
16201,654,253,0
4056,56,595,0
2025,454,860,1
0,43,124,1
533,56,727,1
2566,740,804,1
9661,374,715,0
479,43,223,1
1286,175,501,1
12322,515,840,0
949,110,821,1
1711,399,433,1
8761,355,87,0
11987,515,287,0
1962,454,744,1
532,56,820,1
13276,532,29,0
14949,618,812,0
5747,187,317,0
2387,618,24,1
7593,297,436,0
2574,740,770,1
1146,175,592,1
6664,259,221,0
14147,584,127,0
1094,110,302,1
12255,515,238,0
8490,355,745,0
4899,110,600,0
5128,175,364,0
44,43,560,1
2663,793,166,1
174,43,235,1
11185,443,592,0
19677,895,183,0
9350,361,379,0
12507,515,851,0
15915,654,799,0
1195,175,451,1
15812,624,775,0
1457,305,791,1
8939,361,102,0
5181,175,883,0
7745,305,185,0
175,43,200,1
2898,908,674,1
1488,355,454,1
256,43,479,1
650,56,192,1
194,43,282,1
11347,443,826,0
1731,407,901,1
1241,175,825,1
2677,793,247,1
15181,618,291,0
756,62,4,1
1462,355,561,1
8844,361,732,0
16299,654,542,0
2022,454,497,1
3780,56,700,0
11618,454,693,0
564,56,408,1
565,56,64,1
18498,873,372,0
19514,895,46,0
11636,454,703,0
16445,740,771,0
8605,355,437,0
2672,793,461,1
2360,618,722,1
5658,187,695,0
17620,805,130,0
831,62,272,1
12032,515,317,0
16174,654,192,0
16073,654,527,0
10090,399,668,0
2555,740,873,1
2295,558,492,1
8306,355,226,0
543,56,710,1
2367,618,538,1
16314,654,639,0
1978,454,388,1
14182,584,121,0
1777,407,431,1
3229,49,145,0
144,43,728,1
764,62,767,1
9985,374,223,0
2023,454,7,1
